Súlyosság,Dimenzió,Asset ID,Probléma,Javasolt javítás
blokkoló,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M1.1-NAR-01,"AI-generált (szintetikus/TTS) narráció gépi-olvasható AI-jelölés nélkül. Az EU AI Act 50.(4) a szintetikus AUDIO-ra is vonatkozik. A regiszterben több tucat AI-narráció van (pl. M1.x-NAR, M2.x-NAR, M3.x-NAR, M4.x-NAR, M6.x-NAR, M7.x-NAR), egyiknél sincs audio-provenance jelölés előírva; ez az asset reprezentálja az egész narráció-korpuszt.","[A) OSZTÁLY-SZABÁLY ✅ — lefedve: Program terv §9 / 7. blokkoló sor + EU AI Act 50. cikk. Minden provenance=AI asseten KÖTELEZŐ: C2PA Content Credentials beágyazás + látható vízjel + ember-olvasható AI-címke. Külön sor-szintű javítás nem szükséges.] Írd elő minden AI/TTS narrációhoz az audio-szintű gépi-olvasható jelölést (a generátor watermarkja, ahol van) + C2PA-metaadat a fájlban, és a leckeoldalon a leiratnál tüntesd fel, hogy a narráció szintetikus hang. Ahol a hang valós emberi felvétel ('emberi-felvétel'/'vegyes'), ott ezt dokumentáld, hogy elkülönüljön."
blokkoló,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M1.1-VID-01,"AI-generált beszélőfej-videó (avatar + hang), de a tech/a11y mezőkben nincs gépi-olvasható AI-jelölés előírva, és nincs tanulónak látható AI-provenance címke sem (szemben pl. M4.1/M5.1/M7.2 leckékkel, ahol legalább ember-olvasható címke szerepel). Reprezentálja az összes hasonló jelöletlen beszélőfej-videót: M1.2-VID-01, M2.1-VID-01, M2.2-VID-01, M2.3-VID-01, M2.4-VID-01, M3.1-VID-01, M3.2-VID-01, M3.3-VID-01, M3.4-VID-01, M6.2-VID-01.","[A) OSZTÁLY-SZABÁLY ✅ — lefedve: Program terv §9 / 7. blokkoló sor + EU AI Act 50. cikk. Minden provenance=AI asseten KÖTELEZŐ: C2PA Content Credentials beágyazás + látható vízjel + ember-olvasható AI-címke. Külön sor-szintű javítás nem szükséges.] Adj minden AI-beszélőfej-videóhoz (1) gépi-olvasható C2PA + vízjel jelölést és (2) tanulónak látható, valódi szövegként megjelenő AI-provenance címkét ('AI-generált avatar, a szöveget ember írta/lektorálta'), a M5.1-EGY-01 / M6.1-EGY-01 mintájára, egységesen minden modulra."
blokkoló,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M1.3-VID-01,"AI-generált H5P interaktív videó (beszélő-jelenet két karakterrel) gépi-olvasható AI-jelölés és látható provenance-címke nélkül. Az interaktív/jelenetes AI-videók (M4.1-VID-02 interaktív videó, valamint az M4.1-VID-03/-04/-05 AI-karakterjelenetek) ugyanezt a hiányt hordozzák.","[A) OSZTÁLY-SZABÁLY ✅ — lefedve: Program terv §9 / 7. blokkoló sor + EU AI Act 50. cikk. Minden provenance=AI asseten KÖTELEZŐ: C2PA Content Credentials beágyazás + látható vízjel + ember-olvasható AI-címke. Külön sor-szintű javítás nem szükséges.] Ugyanaz mint a beszélőfej-videóknál: C2PA + vízjel + látható AI-címke. Az AI-generált, teljesalakos KARAKTER-jeleneteknél (M4.1-VID-03/04/05) külön jelezd, hogy a szereplő nem valós személy."
blokkoló,"AI-jelölés & jogtisztaság (EU AI Act 50. cikk, IP)",M6.1-VID-01,"Ez az EGYETLEN asset a teljes regiszterben, amely explicit megemlíti a gépi-olvasható AI-provenance-jelölést (tech: 'gépi-olvasható provenance-jelölés (C2PA/vízjel/metaadat) az exportban'). Ez bizonyítja, hogy a követelmény ismert, mégis a regiszter összes többi ~200 AI-generált assetjénél (pl. minden beszélőfej-videó, narráció, animált diagram, illusztráció, ikon) HIÁNYZIK a gépi-olvasható jelölés. Az EU AI Act 50. cikk (4) megköveteli, hogy a szintetikus audio/kép/videó tartalmat gépi-olvasható formátumban jelöljék mesterségesen generáltként. Jelen állapotban csak 1 asset felel meg, a többi rendszerszinten nem.","[A) OSZTÁLY-SZABÁLY ✅ — lefedve: Program terv §9 / 7. blokkoló sor + EU AI Act 50. cikk. Minden provenance=AI asseten KÖTELEZŐ: C2PA Content Credentials beágyazás + látható vízjel + ember-olvasható AI-címke. Külön sor-szintű javítás nem szükséges.] Emeld modul-szintű, kötelező gyártási követelménnyé a gépi-olvasható AI-jelölést MINDEN provenance=AI(-generált) assetre: kép/videónál C2PA Content Credentials beágyazás + látható vízjel; AI-hangnál/narrációnál a generátor saját provenance-jelölése (pl. SynthID-szerű audio watermark) ott, ahol elérhető, és C2PA-metaadat az exportált fájlban. Vedd fel a regiszterbe egy 'ai_provenance_machine_readable' kötelező mezőt, és tedd a definition-of-done részévé."
blokkoló,Akadálymentesség (WCAG 2.2),M6.1-NAR-02,"A 40-50 mp-es narrációhoz a regiszter csak 'leirat ajánlott' jelölést ad (a SLIDE 2-höz a forrás nem ír elő külön a11y-jegyzetet), de TÉNYLEGES leirat (LEI) és felirat (FEL) asset NEM létezik a regiszterben. Hangos tartalom szöveges ekvivalens nélkül (WCAG 1.2.1 A).","[✅ PÓTOLVA: M6.1-LEI-03 (kötelező leirat) hozzáadva a regiszterhez.] Hozz létre kötelező M6.1-LEI-xx (leirat/transzkript) assetet a SLIDE 2 narrációhoz a slide-notesba; ha videó is készül, FEL felirat is. Tedd a leiratot kötelezővé, ne 'ajánlott'-tá."
blokkoló,Akadálymentesség (WCAG 2.2),M6.1-NAR-03,"A 45-60 mp-es SLIDE 3 narrációhoz csak 'felirat/leirat ajánlott (slide notes)' jelölés szerepel, dedikált LEI/FEL asset nincs a regiszterben. Hangos tartalom szöveges ekvivalens nélkül.","[✅ PÓTOLVA: M6.1-LEI-04 hozzáadva.] Hozz létre kötelező leirat-transzkript assetet a SLIDE 3 narrációhoz; a leirat legyen kötelező elem, ne csak ajánlott."
blokkoló,Akadálymentesség (WCAG 2.2),M6.1-NAR-04,"A 35-45 mp-es SLIDE 4 narrációhoz csak 'felirat/leirat ajánlott' jelölés van, dedikált LEI/FEL asset nincs. Hangos tartalom teljes szöveges ekvivalens nélkül.",[✅ PÓTOLVA: M6.1-LEI-05 hozzáadva.] Hozz létre kötelező leirat assetet a SLIDE 4 narrációhoz a slide-notesba.
blokkoló,Akadálymentesség (WCAG 2.2),M6.1-NAR-05,"A 40-50 mp-es SLIDE 5 narrációhoz csak 'felirat/leirat ajánlott' jelölés van, dedikált LEI/FEL asset nincs a regiszterben.",[✅ PÓTOLVA: M6.1-LEI-06 hozzáadva.] Hozz létre kötelező leirat assetet a SLIDE 5 narrációhoz.
blokkoló,Akadálymentesség (WCAG 2.2),M6.1-NAR-06,"A 40-50 mp-es SLIDE 6 narrációhoz csak 'felirat/leirat ajánlott' jelölés van, dedikált LEI/FEL asset nincs a regiszterben.",[✅ PÓTOLVA: M6.1-LEI-07 hozzáadva.] Hozz létre kötelező leirat assetet a SLIDE 6 narrációhoz.
blokkoló,Akadálymentesség (WCAG 2.2),M6.1-NAR-07,"A SLIDE 8 outro-narrációhoz a kötelező leirat (M6.1-LEI-02) létezik, de a felirat (M6.1-FEL-02) csak FELTÉTELESEN kötelező ('ha az opcionális videó beépül'). Ha a narráció önálló hangként szól videó nélkül, akkor felirat-ekvivalens nem garantált — bár a leirat lefedi a transzkript-igényt, így ez határeset; a leirat megléte miatt nem teljes blokkoló, de a feltételesség kockázat.","[✅ TISZTÁZVA: hang-only esetén a meglévő M6.1-LEI-02 elegendő; videó esetén M6.1-FEL-02 válik kötelezővé.] Egyértelműsítsd, hogy hang-only narráció esetén a kötelező leirat (LEI-02) elegendő; videó esetén a FEL-02 felirat kötelezővé válik."
blokkoló,Akadálymentesség (WCAG 2.2),M7.2-NAR-02,"A ~60 mp-es SLIDE 2 narráció a11y-jegyzete kifejezetten KÖTELEZŐ feliratot ÉS leiratot ír elő ('Felirat + leirat kötelező... a forrás HOOK-mintája a teljes átiratot követeli meg'), de a regiszterben NINCS hozzá tartozó FEL vagy LEI asset (csak M7.2-FEL-01/LEI-01 létezik, ami a HOOK-hoz tartozik).",[✅ PÓTOLVA: M7.2-FEL-03 + M7.2-LEI-03 hozzáadva.] Hozz létre M7.2-FEL-02 (felirat) és M7.2-LEI-02 (leirat) assetet a SLIDE 2 narrációhoz.
blokkoló,Akadálymentesség (WCAG 2.2),M7.2-NAR-03,"A 60-90 mp-es SLIDE 3 INPUT 2 narráció a11y-jegyzete kötelező feliratot+leiratot ír elő, de a regiszterben nincs hozzá tartozó FEL/LEI asset. Tartalmat hordozó hangos narráció szöveges ekvivalens nélkül.",[✅ PÓTOLVA: M7.2-FEL-04 + M7.2-LEI-04 hozzáadva.] Hozz létre felirat (FEL) és leirat (LEI) assetet a SLIDE 3 narrációhoz.
blokkoló,Akadálymentesség (WCAG 2.2),M7.2-NAR-04,"A ~60 mp-es SLIDE 4 INPUT 3 narráció a11y-jegyzete kötelező feliratot+leiratot ír elő, de a regiszterben nincs hozzá tartozó FEL/LEI asset.",[✅ PÓTOLVA: M7.2-FEL-05 + M7.2-LEI-05 hozzáadva.] Hozz létre felirat (FEL) és leirat (LEI) assetet a SLIDE 4 narrációhoz.
