ID,Modul,Egység,Fájltípus,Forrásfájl,Sor,Típus,Altípus,Produkciós mód,Státusz,Készültségi akadály,Cím,Mit kell gyártani,Miért (cél),Forrásblokk,Felmondandó / generálandó szöveg (élő forrásból),Forrás-hash,Alt-forrásblokk,Alt-szöveg (élő forrásból),A11y,Eredet,Eredet-megjegyzés,Tech-spec,Derivatívák,Deliverable-ek,Újrahasznosítás célja,Külső forrás,Blokkolók,Produkciós szabályok,Emberi döntés,Megjegyzés,Spec-hash,Régi ID-k
M0.1-DIA-01,M0,M0.1,online-lecke,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,121,diagram,,legyártandó,produkciós szabályra vár,,Éves útiterv timeline (M0→M7→Z),"Horizontális vagy lépcsős timeline-diagram a 9 állomással: M0, M1, M2, M3, M4, M5, M6, M7, Z. Minden állomásnál a modul kódja + rövid címe (a 94-111. sorok alapján, pl. ""M0 – Kickoff, keret, technika""). Mobil-first elrendezés (függőleges lépcsőként mobilon is olvasható). Az animáció (állomások szekvenciális megjelenése) opcionális, statikus SVG is megfelelő.","Megmutatni, hogy van strukturált éves ív (81. sor: ""strukturált éves ív""); vizuálisan átláthatóvá teszi a teljes képzés útját.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Kell szöveges leirat / alt a 9 állomás kódjával és címével (lásd M0.1-DIA-01).",AI-generált,AI-generált,"note: SVG (opcionálisan animált szekvenciális reveal); mobil-first, 9 csomópont; reszponzív álló/fekvő arány",alt-text,"M0.1-DIA-01, M0.1-DIA-01::ALTTEXT",,,R5,"R1, R5",,"Modulnevek/címek forrása: 94-111. sor. SLIDE 2 tiszta Input, nincs interakció (115. sor).",43659deb4b011abcd5155f5fe61eee24bbbc61d67f53dc7628473789b92ca746,asset: M0.1-DIA-01 | transcript: M0.1-LEI-01
M0.1-IKO-01,M0,M0.1,online-lecke,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,52,icon-set,,legyártandó,produkciós szabályra vár,,Hook-ikon: útiterv / térkép / lépcső,"Egyetlen, egyszerű, letisztult ikon az ""Üdv a madrichképzésben!"" cím (56. sor) alá: útiterv / térkép / lépcső motívum, amely a fejlődési utat szimbolizálja. Mobil-first, jól skálázódó, lapos stílus.","Érzelmi belépés, ráhangolás (52. sor: ""érzelmi belépés, ráhangolás""); vizuálisan jelzi, hogy a képzés egy út/útiterv, amin a tanuló elindul.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Kell alt-szöveg (lásd M0.1-IKO-01::ALTTEXT).",AI-generált,AI-generált,"note: SVG (vagy PNG transzparens háttérrel), mobil-first, ~512px, lapos/letisztult vonalas stílus",alt-text,"M0.1-IKO-01, M0.1-IKO-01::ALTTEXT",,,R5,"R1, R5",,"Dekoratív-szimbolikus, de tartalmat hordoz (út/fejlődés metafora), ezért külön asset. SLIDE 1 vizualitás.",86f9975bc25c845419a2364ef5d5fd64cd1158def2bc1d343365dfabf4bc60cf,asset: M0.1-IKO-01 | alt-text: M0.1-ALT-01
M0.1-IKO-02,M0,M0.1,online-lecke,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,201,icon-set,,legyártandó,produkciós szabályra vár,,"3 ígéret-ikon (kézfogás, létra, pajzs)","Három összehangolt stílusú ikon a három ígérethez (131-138. sor): (1) kézfogás = ""Nem vagy egyedül"", (2) létra = ""fejlődési út, nem vizsga"", (3) pajzs = ""Számít a hangod"". Egységes ikon-készlet, mobil-first. A forrás ""pl."" megjegyzése jelzi, hogy a motívumok cserélhetők, de a 3 ígérethez illeszkedjenek.","A 3 ígéret vizuális megerősítése, biztonság-érzés közvetítése (121. sor: ""biztonság-érzés … ez nem vizsgaév"").",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Kell alt-szöveg mindhárom ikonhoz (lásd M0.1-IKO-02::ALTTEXT).",AI-generált,AI-generált,"note: SVG (vagy PNG transzparens), 3 db egységes stílus, ~256-512px, mobil-first",alt-text,"M0.1-IKO-02, M0.1-IKO-02::ALTTEXT",,,R5,"R1, R5",,"3 bullethez tartozik, lásd 131-138. sor.",d38e56e7c7e802a379e5400bd941160e49082813392d1548e08ffe47d15f1a16,asset: M0.1-IKO-02 | alt-text: M0.1-ALT-03
M0.2-DIA-01,M0,M0.2,online-lecke,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",285,diagram,,legyártandó,produkciós szabályra vár,,SLIDE 4 jelzési folyamatábra: észreveszem → nem maradok egyedül → jelzek → támogatást kapunk,"Négylépcsős, balról jobbra (mobilon felülről lefelé) folyamatábra 4 csomóponttal és nyilakkal: 1) Valami nem oké / Észreveszem, 2) Nem maradok egyedül, 3) Jelzek (ken-vezető / gyermekvédelmi felelős / stáb), 4) Támogatást kapunk. Egyszerű, tiszta vizuális nyelv, opcionálisan lépésenkénti megjelenítés.","A 'madrich, nem terapeuta' kulcs-logikát egyetlen lineáris jelzési útvonalként teszi megjegyezhetővé; megerősíti, hogy a madrich nem egyedül old meg, hanem jelez.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Alt-szöveg / szöveges leirat kell a folyamat sorrendjéről (lásd M0.2-DIA-01::ALTTEXT)",AI-generált,AI-generált,"note: diagram/ábra, mobil-first reszponzív elrendezés (vízszintes→függőleges), magyar feliratokkal; ha animált, lépésenkénti feltűnés",alt-text,"M0.2-DIA-01, M0.2-DIA-01::ALTTEXT",,,R5,"R1, R5",,Megegyezik a dia 1–4 számozott szöveges lépéseivel (188–198. sor).,a4ac64d9863e2513031cbefc8cb51ffdb4636464ade8148f8e5760c50b4bee71,asset: M0.2-DIA-01 | alt-text: M0.2-ALT-03
M0.2-DIA-02,M0,M0.2,online-lecke,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",128,diagram,,legyártandó,produkciós szabályra vár,,"SLIDE 2 kétoszlopos összevetés: „Madrichként csinálom"" vs. „Nem (csak) az én feladatom""","Kétoszlopos összehasonlító vizuális elrendezés/sablon a madrich-felelősség kontrasztjához: bal oszlop „Madrichként csinálom"" (keret-tartás, peula/Zmán Kvuca, hangulat-figyelés, jelzés red flag esetén), jobb oszlop „Nem (csak) az én feladatom"" (terápia, egyedüli döntés súlyos ügyben, 0–24 ügyelet, az egész ken vitele). Mobil-first reszponzív (oszlopok egymás alá rendeződnek); a két oszlopot vizuális kontraszt (szín/ikon) különböztesse meg.","A SLIDE 2 alap szerep-tisztázását (mit csinál / mit NEM csinál a madrich) egyetlen, gyorsan átlátható kontraszt-vizuálban rögzíti.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Alt-szöveg / szöveges leirat kell a két oszlop tartalmáról és a kontrasztról (lásd M0.2-DIA-02::ALTTEXT)",AI-generált,AI-generált,"note: kétoszlopos összevető diagram/sablon, magyar feliratok, mobil-first reszponzív (vízszintes→függőleges); a tartalom-szöveg a 96–106. sorból",alt-text,"M0.2-DIA-02, M0.2-DIA-02::ALTTEXT",,,R5,"R1, R5",,"A forrásban explicit „Vizualitás"" elem (90. sor), a többi dia vizuáljaival párhuzamos legyártandó asset. Az oszlopok szöveg-tartalma a 96–106. sorban.",9cd573e801abb59961901a7f42c19dfa93ae27480b5169e8652da47005fc76a6,asset: M0.2-DIA-02 | alt-text: M0.2-ALT-04
M0.2-EGY-01,M0,M0.2,online-lecke,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",205,other,h5p-interaction,legyártandó,specifikáció kész,,Akadálymentes iframe-cím és fókusz-spec a SLIDE 3 interakcióhoz,"Beszédes magyar iframe-cím és akadálymentes konfiguráció a SLIDE 3 Single Choice Set interakcióhoz: ≥24 px érintőfelület, látható fókusz, billentyűzettel végigvihető, húzás-mentes. Ha Drag & Drop kerül be, kötelező húzás-mentes alternatíva (Matching / Single Choice) ugyanazzal a 4 helyzettel (142–153. sor).",Az M0 puha kapu completion-eleme akadálymentes legyen (LMS-sztenderd §3 + KAPUS pre-flight); képernyőolvasóval és billentyűzettel is teljesíthető.,,,,,,note: —,emberi,emberi-felvétel,"note: H5P iframe cím (magyar), fókusz-stílus, ≥24px touch target; H5P Single Choice Set konfig",,M0.2-EGY-01,,,,,,"Nem dekoratív vizuál, hanem kötelező a11y-spec az interaktív elemhez. A 4 helyzet a 142–153. sorban; a 2. (otthoni bántalmazás) nem-alkudható safeguarding-reflex (164. sor).",5a20ed4f900130a61404230e7f514f687817d45188e380369362708aec814116,asset: M0.2-EGY-01
M0.2-IKO-01,M0,M0.2,online-lecke,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",59,icon-set,,legyártandó,produkciós szabályra vár,,SLIDE 1 hook-ikonok: barát / tanár / szuperhős,"3 db egyszerű, egységes stílusú ikon a 'madrich' szereptévképzeteihez: barát (kézfogás), tanár (könyv), szuperhős (köpenyes figura). Mobil-first, egyforma vizuális nyelv, a cím („Miben vagy madrich, és miben nem?"") alá rendezve.","Ráhangolás: vizuálisan érzékelteti, hogy a madrich szerep nem = mindenért felelős hős; a háromféle szerepkép gyorsan felidézi a tévhiteket.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Mindegyik ikonhoz alt-szöveg kell (lásd M0.2-IKO-01::ALTTEXT)",AI-generált,AI-generált,"note: 3 ikon, vektoros/PNG, egységes stílus, mobil-first méret, transzparens háttér ajánlott",alt-text,"M0.2-IKO-01, M0.2-IKO-01::ALTTEXT",,,R5,"R1, R5",,Összetartozik a SLIDE 1 hook-kal; a cím dia-szöveg (62. sor). Stílusban egyezzen M0.2-IKO-02-vel.,351d82c2d7c0ee042e393f909fe8b9f88ab3f3c3e61f23fff2330ca766a9ec89,asset: M0.2-IKO-01 | alt-text: M0.2-ALT-01
M0.2-IKO-02,M0,M0.2,online-lecke,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",361,icon-set,,legyártandó,produkciós szabályra vár,,SLIDE 5 dugma ishit ikonok: kör / chat / kulissza,"3 db kis ikon a dugma ishit három színteréhez: kör/kvuca (peulán), chat-buborék (online/csoportchat), kulissza/színpad mögötti (stáb, felfelé). Egységes stílus a SLIDE 1 ikonokkal harmonizálva.","Vizuálisan tagolja a dugma ishit három kontextusát (offline kvuca, online, stáb); segíti a 'példa vagyok mindenhol' üzenet rögzülését.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Mindegyik ikonhoz alt-szöveg kell (lásd M0.2-IKO-02::ALTTEXT)",AI-generált,AI-generált,"note: 3 ikon, vektoros/PNG, egységes stílus, mobil-first méret",alt-text,"M0.2-IKO-02, M0.2-IKO-02::ALTTEXT",,,R5,"R4, R1, R5",,Cím a dián: 'Dugma ishit – nem csak peulán' (217. sor). Stílusban egyezzen M0.2-IKO-01-gyel.,2523f258cc8829c4976bcf59bbb855422d3e41c431d9c80afe012cd5f4c48259,asset: M0.2-IKO-02 | alt-text: M0.2-ALT-02
M0.3-FOTO-01,M0,M0.3,online-lecke,"02 Tervezet/Modulok/M0/Online leckék/M0.3 – Hogyan működik a Moodle, H5P és a gate.md",87,photo,,legyártandó,jogtisztázás alatt,,Moodle kurzus főoldal screenshot (modul-lista),"Valós képernyőkép a Moodle kurzus főoldaláról, amin fentről lefelé sorban látszanak a modulok (M0, M1, M2, …, M7, Z), a modulnevek/kódok, és a befejezett elemeket jelző kis pipák. Mobil-first beágyazás a diára. A screenshotba égetett feliratok (modulnevek, kódok) a diaszövegben (97–108. sor) is olvashatók maradnak.","A kurzus-szerkezet megértése, hogy ne legyen „rejtélyes” a felület: a tanuló tudja, hol találja a modulokat, leckéket, peulákat és kapukat.",,,,M0.3-FOTO-01-ALT#1,"A Moodle kurzus főoldala. A modulok fentről lefelé sorban: M0, M1, M2, …, M7, Z. Minden modul címe mellett pipa jelzi a befejezett elemeket.",visual: informative; note: Kötelező érdemi alt-szöveg (lásd M0.3-FOTO-01::ALTTEXT). A kulcsszöveg nem maradhat csak képbe égetve – a kurzus-struktúra a diaszövegben (97–108. sor) is megjelenik.,emberi,emberi-felvétel,"note: PNG/JPG képernyőkép, mobil-first arány, a végleges Moodle-felület alapján; kis kijelzőn is olvasható felbontás.",alt-text,"M0.3-FOTO-01, M0.3-FOTO-01::ALTTEXT",,,"R7, R8","R7, R8",,"Az egyetlen ténylegesen beágyazott vizuális a leckében (a lecke szövegslide-okból + 1 screenshotból áll, lásd 10. sor). Szövegekvivalense: M0.3-FOTO-01::ALTTEXT + a SLIDE 2 diaszöveg (97–108. sor).",100cdc1d9ede394a9f78415ee21f71784ffd42619f89a1f399a3c4450b9950f7,asset: M0.3-FOTO-01 | alt-text: M0.3-ALT-01
M0.4-DIA-01,M0,M0.4,online-lecke,02 Tervezet/Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,331,diagram,,legyártandó,produkciós szabályra vár,,3 egyszerű online szabály – kártyás összegző diagram,"Három, számozott szabálykártyából álló, megjegyezhető összegző ábra/diagram, mindegyik kártya egy rövid címszabállyal és kísérőikonnal. A 2. szabálynál (red flag) vizuális kiemelés a gyermekvédelmi jelzés fontosságára.","Rövid, emlékezetes formába önti a 3 szabályt; ez a lecke fő tudás-takeaway-je, amelyre az 5. és 7. slide visszahivatkozik.",,,,,,"visual: informative; alt_note: a lecke előírja az alt-szöveget, de a végleges szöveget a legyártott vizuál alapján kell megírni; note: Leirat/alt-szöveg kötelező: a 3 szabály teljes szövege géppel olvasható formában is. → lásd M0.4-DIA-01::ALTTEXT. Animáció ne legyen az egyetlen információforrás.",AI-generált,AI-generált,note: Mobil-first álló elrendezés; SVG vagy könnyű H5P-animáció (kártyák egyenként megjelenése); olvasható tipográfia; kontrasztos. Statikus fallback kötelező.,alt-text,"M0.4-DIA-01, M0.4-DIA-01::ALTTEXT",,,R5,"R1, R5",,Újrahasznosítható print-poszterként → M0.4-POSZ-01 ugyanezt a tartalmat vigye.,76f0996212a00913d7771f0415aabd1fa234a979cb37d9434374267e5318a9c7,asset: M0.4-DIA-01 | alt-text: M0.4-ALT-04
