Köteg,Köteg neve,Függőség,Deliverable ID,Asset ID,Szerep,Modul,Egység,Típus,Altípus,Produkciós mód,Státusz,Kapuk,Szín-függés,Pilot,Cím,Forrásfájl
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M0.2-EGY-01,M0.2-EGY-01,elsődleges,M0,M0.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Akadálymentes iframe-cím és fókusz-spec a SLIDE 3 interakcióhoz,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M0.A-EGY-01,M0.A-EGY-01,elsődleges,M0,M0.A,other,,legyártandó,specifikáció kész,,nincs kimondva,,Zárókör induló-szavainak rögzítése (képzői jegyzet a Z.A-hoz),02 Tervezet/Modulok/M0/Peulák/M0.A – Kickoff & ismerkedés + közös keret.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M2.3-EGY-01,M2.3-EGY-01,elsődleges,M2,M2.3,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,"Hook Single Choice poll – ""Melyik pillérhez érzed a legerősebb kapcsolatot?""",02 Tervezet/Modulok/M2/Online leckék/M2.3 – Somer 3 pillére – mini-kapszula.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M2.3-EGY-02,M2.3-EGY-02,elsődleges,M2,M2.3,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,H5P Branching Scenario – 3 pillér döntés-fa (a lecke magja),02 Tervezet/Modulok/M2/Online leckék/M2.3 – Somer 3 pillére – mini-kapszula.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M2.3-EGY-03,M2.3-EGY-03,elsődleges,M2,M2.3,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,SLIDE CHECK mini-kvíz – 2× Single Choice (fogalmi rögzítés),02 Tervezet/Modulok/M2/Online leckék/M2.3 – Somer 3 pillére – mini-kapszula.md
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.2-EGY-01,M3.2-EGY-01,elsődleges,M3,M3.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,"Matching jelenet-feladat (H5P Matching/Drag&Drop, 7 jelenet + 4 kvuca-címke)","02 Tervezet/Modulok/M3/Online leckék/M3.2 – Parparim, Kivsza, Leviatan, Zorea – 4 kvuca, 4 világ.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.2-EGY-02,M3.2-EGY-02,elsődleges,M3,M3.2,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Húzás-mentes Matching alternatíva (Single Choice Set / legördülős),"02 Tervezet/Modulok/M3/Online leckék/M3.2 – Parparim, Kivsza, Leviatan, Zorea – 4 kvuca, 4 világ.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-01,M3.4-EGY-01,elsődleges,M3,M3.4,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Single Choice interakció – „Mennyire érzed fontosnak…” (SLIDE 1),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-02,M3.4-EGY-02,elsődleges,M3,M3.4,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Mini True/False interakció – szigorúbb határok (SLIDE 2),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-03,M3.4-EGY-03,elsődleges,M3,M3.4,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,H5P Sorting / Drag & Drop – „OK / Nem OK madrichként” (SLIDE 4),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-04,M3.4-EGY-04,elsődleges,M3,M3.4,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,Húzás-mentes a11y-alternatíva – Single Choice/Matching (SLIDE 4),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
B0,BATCH 0 — MOST GYÁRTHATÓ,nincs nyitott kapu,M3.4-EGY-05,M3.4-EGY-05,elsődleges,M3,M3.4,other,h5p-interaction,legyártandó,specifikáció kész,,nincs kimondva,,H5P Question Set – mini-kvíz 3 kérdés (SLIDE 6),"02 Tervezet/Modulok/M3/Online leckék/M3.4 – Do és Don’t madrichként – határok, red flag-ek és modulproduktum.md"
