Kanonikus (megtartandó),Tagok,Bucket,Indok / újrahasznosítás
M1.1-VID-01,"M1.1-VID-01, M1.1-VID-01",Videó,"Két azonos ID-jű bejegyzés ugyanarra a 'Johari-ablak bevezető' AI beszélő-fej videóra hivatkozik: egyszer a részletes M1.1 leckefájlban (M1.1 – Johari-ablak..., SLIDE 1 HOOK), egyszer pedig a modul-áttekintő fájlban (M1 – „Vakfolt, tükör, feedback”..., §3 / M1.1, sor 53-59). Ugyanaz az ID, ugyanaz a deliverable (16:9 AI beszélő-fej, Johari 4 mezője + 'meglepő visszajelzés' hook, fő üzenet 'vakfolt ≠ velem baj van'). A két dokumentum ugyanazt az egy legyártandó videót írja le, nem két különböző médiát. — Egyetlen videó, amelyet a modul-áttekintő fájl csak összefoglalóként megismétel. Nincs eltérő felhasználás – ugyanaz a fájl kerül be az M1.1 H5P Course Presentation SLIDE 1 HOOK helyére. Egyszer kell legyártani."
M1.3-VID-01,"M1.3-VID-01, M1.3-VID-01",Videó,"Két azonos ID-jű bejegyzés ugyanarra az SBI Interactive Video-ra hivatkozik: a részletes M1.3 leckefájlban (M1.3 – SBI-modell..., SLIDE 1, beépített Single Choice) és a modul-áttekintő fájlban (M1 – „Vakfolt, tükör, feedback”..., §3 / M1.3, sor 86). Mindkettő ugyanazt írja le: ugyanaz a folyosó-jelenet két madrich közt, egymás után két verzióban (címkéző 'mindig szétszúrod a peulát' vs. SBI-s), S/B/I részeknél kiemeléssel, beágyazott Single Choice-szal. Ugyanaz az ID, ugyanaz a legyártandó interaktív videó. — Egyetlen H5P Interactive Video, amelyet az áttekintő fájl csak röviden összefoglal. Az M1.3 lecke SLIDE 1 helyén használt forrás. Egyszer kell legyártani, nincs külön felhasználási variáns."
M1.1-DIA-01 (M1.1 lecke),"M1.1-DIA-01 (M1.1 – Johari-ablak lecke), M1.1-DIA-01 (M1 hub)",Diagram & ábra,"Mindkét asset ugyanazt az animált 2×2-es Johari-ablak diagramot írja le (négy mező: nyitott/vakfolt/rejtett/ismeretlen, a tengelyek fokozatos felépülésével és a 'vakfolt' mező kiemelésével). A két azonos azonosító (M1.1-DIA-01) nem véletlen: az M1 hub §3 / M1.1 'Eszközök' sora (54. sor: 'diagram-animáció') pontosan ugyanarra a Johari-animációra mutat, amelyet az M1.1 mikrolecke SLIDE 3 INPUT 1 blokkja használ. A hub csak hivatkozik a lecke médiájára – egy darab médiát kell legyártani. — Egy darab animált Johari-diagram készül az M1.1 leckéhez; az M1 modulvázlat (hub) ugyanezt a meglévő médiát hivatkozza/újrahasználja, nincs külön legyártandó változat."
Z.1-DIA-01 (Z.1 lecke),"Z.1-DIA-01 (Z.1 – Visszanéző tükör lecke), Z.1-DIA-01 (Z hub)",Diagram & ábra,"Azonos azonosító (Z.1-DIA-01) és azonos médiaspec: vízszintes M0→M7 idővonal-diagram, nyolc állomással balról jobbra, modulonként 1 rövid kulcsmondattal/címkével, és a záró nyitott-kérdés zónával ('Írj le 1 dolgot, amit semmiképp nem szeretnél elfelejteni…'). A Z hub Z.1 blokkja 'Eszközök: Moodle Page (vizuális timeline)' néven ugyanazt a vizuális timeline-t írja le, amit a Z.1 mikrolecke SLIDE 2 megjelenít. Egy darab média, a hub csak hivatkozik rá. — Egyetlen M0→M7 vizuális félév-timeline készül a Z.1 leckéhez; a Z modulvázlat (hub) ugyanezt a Moodle Page timeline-médiát hivatkozza/újrahasználja. Megjegyzés: NEM azonos az M0.1-DIA-01 timeline-nal (az 9 állomásos M0→M7→Z előretekintő útiterv, ez 8 állomásos M0→M7 visszatekintő ív), ezért az nem tartozik ide."
M5.1-IKO-01,"M5.1-IKO-01, M5.1-IKO-01",Ikon,"Kétszer szerepel UGYANAZ az asset ID (M5.1-IKO-01) ugyanazzal a tartalommal: háromelemű tanulásforma-ikon-készlet (formális=Suli/iskola, nonformális=Somer/kvuca, informális=Random/chat). Az egyik bejegyzés a lecke-fájlból (M5.1 ... Suli _ Somer _ random.md), a másik a modul-áttekintő fájlból (M5 – „Ez most játék vagy tanulás_”...md) származik, de pontosan egy legyártandó ikon-grafikát jelölnek az M5.1 Input-slide-jához. Azonos azonosító + azonos spec = egyetlen asset. — Nincs eltérés: ugyanaz a három ikon ugyanarra az M5.1 Input-slide-ra. Egyszer kell legyártani; a modul-áttekintő fájl csak ismétli a hivatkozást."
M1.3-IKO-01,"M1.3-IKO-01, M1.4-IKO-01",Ikon,"Ugyanaz a háromelemű SBI vizuális kód: S = kék óra+helyszín(pin), B = zöld szem/fül, I = narancs szív/hullám. Az M1.4 spec szó szerint kiköti: „Az M1.3-ban használt ikon-stílussal és színekkel megegyezően.” Az M1.3 spec szerint pedig ugyanez a kód végigmegy a teljes leckén ÉS a peulákon. Tehát egyetlen ikon-készletet kell legyártani, amit az M1.3 és M1.4 (és a peulák) újrahasznosítanak. — Pontosan azonos ikonok és színkód; az M1.4 H5P mini-quizben jelennek meg, az M1.3 videóban/slide-grafikákon. Csak az elhelyezés/kontextus tér el, maga az ikon-asset identikus."
M3.2-IKO-01,"M3.2-IKO-01, M7.4-IKO-01",Ikon,"Ugyanaz a négy kvuca-ikon/piktogram egységes vizuális rendszerben: Parparim (pillangó 🦋), Kivsza (bárány 🐑), Leviatan (bálna 🐋), Zorea (csíra/növény 🌱). Mindkét lecke pontosan ezt a négy motívumot kéri ugyanazokkal a fajokkal; ez a program egységes kvuca-ikonkészlete (korosztály-térkép). Egyszer érdemes legyártani és újrahasználni mindkét leckében (M3.2 Matching/kártyák; M7.4 Single Choice kvuca-típus választó). — Azonos négy ikon. Eltérés csak a felhasználásban: M3.2-ben kártyákon/oszlopfejekben/táblázatban ismétlődve, M7.4-ben Single Choice opciókhoz illesztett piktogramként (korosztály-címkével: 6–10 / 11–13 / 14–16 / 16+). A vizuális asset ugyanaz."
M6.3-FOTO-03,"M6.3-FOTO-03, M6.3-FOTO-02",fotó-kép,"Mindkét asset ugyanazt a vizuált írja le: egy kvuca együtt, egymás mellett dolgozik EGY NAGY KÖZÖS PLAKÁTON, sok kéz dolgozik rajta egyszerre. A HOOK jobb képe (FOTO-02) a 'kézműves mint közös élmény' pólus = pontosan a 'Közös kvuca-plakát' jelenet, amit a PÉLDA 1 képe (FOTO-03) is mutat ('sok kéz, rajzok, szavak, mindenki nyoma rajta van'). A lecke maga köti össze a kettőt: a HOOK ígérete (közös plakát = közös élmény) a PÉLDA 1-ben fizet ki. Egyetlen, jól komponált fotó/illusztráció mindkét helyen használható; a HOOK-ban a kontraszt-párként (FOTO-01 mellett), a SLIDE 3-on önállóan, a 'mindenki nyoma rajta' részlettel. A két alt-szöveg gyakorlatilag ugyanazt a tartalmat írja le. — Egyszer kell legyártani a 'kvuca közös nagy plakáton dolgozik, sok kéz' képet. HOOK-on (SLIDE 1) a FOTO-01 unott-színezős kontraszt-párjaként, kicsiben/párban jelenik meg; SLIDE 3-on (PÉLDA 1) önállóan, nagyban, a részletekre (rajzok, szavak, mindenki nyoma) fókuszálva. Ha a HOOK-kontraszthoz szorosabb keret kell, a kép kivágása/mérete eltérhet, de a forrásfotó/illusztráció ugyanaz."
"M1.1-LEI-01 (al-lecke: M1.1 – Johari-ablak ...md, SLIDE 1)","M1.1-LEI-01 (al-lecke: M1.1 – Johari-ablak – vakfoltjaim felismerése.md, SLIDE 1 HOOK), M1.1-LEI-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.1)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M1.1 AI beszélő-fej HOOK videónak a teljes narráció-transzkriptja. A hub-tétel (§3/M1.1/Eszközök) az M1.1 deliverable magas szintű a11y-bejegyzése; az al-lecke ugyanezt a HOOK-narrációt (SLIDE 1) bontja ki. Egy transzkriptot kell legyártani a videó tényleges narrációjából. — Azonos szöveg, egyszer írandó meg (a véglegesített HOOK-narrációból). Az al-lecke a kanonikus forrás (ott a teljes slide-szintű narráció él); a hub csak hivatkozik rá."
"M1.1-FEL-01 (al-lecke: M1.1 – Johari-ablak ...md, SLIDE 1)","M1.1-FEL-01 (al-lecke: M1.1 – Johari-ablak – vakfoltjaim felismerése.md, SLIDE 1 HOOK), M1.1-FEL-01 (hub: M1 – „Vakfolt, tükör, feedback” ...md, §3/M1.1)",Szöveges ekvivalens (a11y),"Mindkettő UGYANANNAK az M1.1 HOOK beszélő-fej videónak a szinkronizált magyar felirata. A felirat a forrás szerint szó szerint a narrációt közli; ugyanaz a videó → ugyanaz a feliratfájl. A hub-tétel csak az al-leckés videó feliratát summázza. — Egy SRT/VTT feliratfájl gyártandó a HOOK-narrációból, mindkét helyen ugyanaz használandó."
