old_id,old_type,old_file,old_category,old_generate_state,v2_asset_id,v2_deliverable_id,status,reason
M0.1-ALT-01,alt-szöveg,Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,szöveges-ekvivalens,produce,M0.1-IKO-01,M0.1-IKO-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.1-IKO-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.1-ALT-03,alt-szöveg,Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,szöveges-ekvivalens,produce,M0.1-IKO-02,M0.1-IKO-02::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.1-IKO-02 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.1-DIA-01,animált-diagram,Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,digitális-generálandó,produce,M0.1-DIA-01,M0.1-DIA-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.1-IKO-01,ikon-készlet,Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,digitális-generálandó,produce,M0.1-IKO-01,M0.1-IKO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.1-IKO-02,ikon-készlet,Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,digitális-generálandó,produce,M0.1-IKO-02,M0.1-IKO-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.1-LEI-01,leirat-transzkript,Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,szöveges-ekvivalens,produce,M0.1-DIA-01,M0.1-DIA-01,MERGED_INTO_PARENT,a v2-ben a(z) M0.1-DIA-01 deklarációjának része (nincs külön legyártandó `transcript` deliverable)
M0.2-ALT-01,alt-szöveg,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",szöveges-ekvivalens,produce,M0.2-IKO-01,M0.2-IKO-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.2-IKO-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.2-ALT-02,alt-szöveg,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",szöveges-ekvivalens,produce,M0.2-IKO-02,M0.2-IKO-02::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.2-IKO-02 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.2-ALT-03,alt-szöveg,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",szöveges-ekvivalens,produce,M0.2-DIA-01,M0.2-DIA-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.2-DIA-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.2-ALT-04,alt-szöveg,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",szöveges-ekvivalens,produce,M0.2-DIA-02,M0.2-DIA-02::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.2-DIA-02 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.2-DIA-01,animált-diagram,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",digitális-generálandó,produce,M0.2-DIA-01,M0.2-DIA-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.2-DIA-02,animált-diagram,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",digitális-generálandó,produce,M0.2-DIA-02,M0.2-DIA-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.2-EGY-01,egyéb,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",szöveges-ekvivalens,produce,M0.2-EGY-01,M0.2-EGY-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.2-IKO-01,ikon-készlet,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",digitális-generálandó,produce,M0.2-IKO-01,M0.2-IKO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.2-IKO-02,ikon-készlet,"Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",digitális-generálandó,produce,M0.2-IKO-02,M0.2-IKO-02,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.3-ALT-01,alt-szöveg,"Modulok/M0/Online leckék/M0.3 – Hogyan működik a Moodle, H5P és a gate.md",szöveges-ekvivalens,produce,M0.3-FOTO-01,M0.3-FOTO-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.3-FOTO-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.3-FOTO-01,fotó-kép,"Modulok/M0/Online leckék/M0.3 – Hogyan működik a Moodle, H5P és a gate.md",digitális-generálandó,produce,M0.3-FOTO-01,M0.3-FOTO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.4-ALT-01,alt-szöveg,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,szöveges-ekvivalens,produce,M0.4-ILL-01,M0.4-ILL-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.4-ILL-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.4-ALT-02,alt-szöveg,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,szöveges-ekvivalens,produce,M0.4-ILL-02,M0.4-ILL-02::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.4-ILL-02 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.4-ALT-03,alt-szöveg,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,szöveges-ekvivalens,produce,M0.4-ILL-03,M0.4-ILL-03::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.4-ILL-03 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.4-ALT-04,alt-szöveg,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,szöveges-ekvivalens,produce,M0.4-DIA-01,M0.4-DIA-01::ALTTEXT,DERIVED_NOW,"a v2-ben a(z) M0.4-DIA-01 `alt-text` derivatívája, a szövegét a forrásblokk adja"
M0.4-DIA-01,animált-diagram,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,digitális-generálandó,produce,M0.4-DIA-01,M0.4-DIA-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.4-IKO-01,ikon-készlet,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,digitális-generálandó,produce,M0.4-IKO-01,M0.4-IKO-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
M0.4-ILL-01,illusztráció,Modulok/M0/Online leckék/M0.4 – Dugma ishit az online térben + bemutatkozó fórum.md,digitális-generálandó,produce,M0.4-ILL-01,M0.4-ILL-01,PRESERVED,azonos azonosítójú szemantikus asset a jelenlegi forrásban
