Újrahasznosító asset,Modul,Forrásfájl,Típus,Kanonikus asset,Kanonikus fájl,Kanonikus típus,Indoklás
M1-HUB-KART-01,M1,"02 Tervezet/Modulok/M1/M1 – Vakfolt, tükör, feedback – Önismeret & visszajelzés – Johari + SBI.md",card-set,M1.A-MUNK-01,02 Tervezet/Modulok/M1/Peulák/M1.A – Önismeret & Johari + megfigyelés vs. címkézés (45’).md,worksheet,"Újrahasznosítás indoklása (v1 dedup): Az áttekintő 'kártyaszett'-ként, a részletes 'munkalap vagy kártyák'-ként hivatkozik rá – a részletes spec maga megengedi a kártyás kivitelt. Ugyanaz a tartalom. A forrás a kártyát opcióként adja meg ('oldalválasztás / kártyák'); tartalmilag az M1.2 online-lecke mondatbankjával rokon. Részletek a M1.A peula-fájlban."
M1.4-IKO-01,M1,02 Tervezet/Modulok/M1/Online leckék/M1.4 – Miniszituációk – Mondd el SBI-ben.md,icon-set,M1.3-IKO-01,02 Tervezet/Modulok/M1/Online leckék/M1.3 – SBI-modell – hogyan adjak korrekt visszajelzést.md,icon-set,"Újrahasznosítás indoklása (v1 dedup): Pontosan azonos ikonok és színkód; az M1.4 H5P mini-quizben jelennek meg, az M1.3 videóban/slide-grafikákon. Csak az elhelyezés/kontextus tér el, maga az ikon-asset identikus. Az M1.4-DIA-01 diagram építőeleme; meglévő M1.3-ikonok újrafelhasználhatók, ha azonosak."
M1.F-MUNK-01,M1,"02 Tervezet/Modulok/M1/Peulák/M1.F – Felzárkóztató peula – Johari, megfigyelés és SBI egyben (45’).md",worksheet,M1.F-MUNK-02,"02 Tervezet/Modulok/M1/Peulák/M1.F – Felzárkóztató peula – Johari, megfigyelés és SBI egyben (45’).md",worksheet,"Újrahasznosítás indoklása (v1 dedup): Az áttekintő explicit leckénkénti L1–L4 bontást ír; a részletes generikusabb '1 mondat + 1 kérdés'-t. Mindkettő ugyanaz a résztvevői jegyzetlap az M1.F-ben. Az „Offline B-terv eszköze” (sor 44) és a Blokk 2 contingencia-leírás (sor 146) ugyanazt az 1-oldalas összefoglalót írja le – egyetlen asset, nincs duplikálva. A sor 44 a S–B–I lépéseit említi, a sor 146 hozzáteszi „egy mondatpéldával” – a contentSpec a bővebb (146) változatot követi. Sor 147 explicit kimondja, hogy a 3 mini-magyarázat „szövege és táblaábrája itt készen áll” – ennek print-megfelelője ez az összefoglaló, így a Blokk 3 táblaábrák (kamera↔kommentár skála, SBI-betűk) nem külön gyártandó assetek, hanem helyszínen filccel rajzolt facilitációs elemek. Tartalmi forrása: M1.1, M1.2, M1.3 leckék. Provenance javítva emberi-felvétel→AI-generált: ez gyártandó tartalmi sablon, nem felvétel."
M3-HUB-POSZ-01,M3,"02 Tervezet/Modulok/M3/M3 – Kvuca, red flag, felelősség – Csoportdinamika, korosztályok és gyermekvédelem.md",poster,M3.B-MUNK-01,02 Tervezet/Modulok/M3/Peulák/M3.B – Red flag vagy nem – Esetelemzés & lépés-térkép.md,worksheet,"Újrahasznosítás indoklása (v1 dedup): Az áttekintő 'poszter'-ként, a részletes 'flipchart-sablon/munkalap'-ként hivatkozik – ugyanaz a kitölthető folyamatábra. A lépésszerkezet szövegezése kissé eltér, de ugyanaz a média. Kapcsolódik az M3.3 és M3.4 online leckékhez, valamint a §2 kompetencia 4. ponthoz. A részletes folyamat a child fájlban; itt a poszter-sablon a legyártandó asset."
M3.A-KART-01,M3,"02 Tervezet/Modulok/M3/Peulák/M3.A – Találd ki, hol tart a kvuca! – Történetek Tuckman szemüvegén át.md",card-set,M3.A-KART-02,"02 Tervezet/Modulok/M3/Peulák/M3.A – Találd ki, hol tart a kvuca! – Történetek Tuckman szemüvegén át.md",card-set,Újrahasznosítás indoklása (v1 dedup): Az áttekintő egyesíti a Tuckman-párosítást is; a részletes 8 konkrét sztorit nevez meg. Ugyanaz a kvuca-sztori szett. A 2.1-ben adott verbatim feliratokkal (42-46) és a Blokk 2 emlékeztető szóhasználatával (137-140) konzisztens.
M5.A-POSZ-01,M5,"02 Tervezet/Modulok/M5/Peulák/M5.A – Suli, Somer vagy random – Hol tanulunk és hogyan.md",poster,M5.A-MUNK-01,"02 Tervezet/Modulok/M5/Peulák/M5.A – Suli, Somer vagy random – Hol tanulunk és hogyan.md",worksheet,"Újrahasznosítás indoklása (v1 dedup): Az áttekintő 4 fejlécet (Feladat/Cél/Kvuca/Módszer), a részletes 4 mezőt + kiinduló-helyzet sávot ad. Ugyanaz a fő gyakorlat-poszter; minimálisan eltérő mezőzés, de egy média. Ugyanaz a 3 fogalom köszön vissza a helyzetkártyák hátlapcímkéin ([SULI]/[SOMER]/[RANDOM], lásd M5.A-KART-01)."
M6-HUB-MUNK-01,M6,"02 Tervezet/Modulok/M6/M6 – Toolbox – játék, történet, kézműves & inkluzivitás.md",worksheet,M6.B-MUNK-01,02 Tervezet/Modulok/M6/Peulák/M6.B – Peula – Játéklap workshop – saját eszköz tervezése (45’).md,worksheet,"Újrahasznosítás indoklása (v1 dedup): M6.B-MUNK-01 az elsődleges/forrás-sablon, amire M6-MUNK-01 és M6.F-MUNK-02 explicit visszahivatkozik ('a digitális/sablon nyomtatott változata'). Ugyanaz az egylapos játéklap; a felhasználási kontextus (workshop / modul-produktum / offline B-terv) eltér, de a média egy darab. Modul-szintű, közös print/űrlap-deliverable: használja az M6.B (sor 40, 174, 329: „Játéklap-sablon nyomtatva”, „Oszd ki a játéklap-sablonokat”) és az M6.F (sor 63: „nyomtatott üres játéklap-sablonok”) – mindkét gyermekfájl HASZNÁLJA, de NEM definiálja a rovatstruktúrát, ezért a kanonikus horgony a hub (§2.5 + §6.2 R1–R5 megfeleltetés). A kapuzás az M6 – KAPU fájl rubrikája (R1–R5) szerint történik. A KAPU-rubrika, a quiz item-bank, a fogalom-térkép (M6.F sor 150/154) és a lecke-szintű slide/narráció/branching tartalmak NEM itt, hanem a dedikált gyermekfájlokban (M6 – KAPU, M6.1–M6.4, M6.F) gyártandók – a kettős számolás elkerülése végett."
M6.3-FOTO-02,M6,"02 Tervezet/Modulok/M6/Online leckék/M6.3 – Kézműves, ami tanít is.md",illustration,M6.3-FOTO-03,"02 Tervezet/Modulok/M6/Online leckék/M6.3 – Kézműves, ami tanít is.md",illustration,"Újrahasznosítás indoklása (v1 dedup): Egyszer kell legyártani a 'kvuca közös nagy plakáton dolgozik, sok kéz' képet. HOOK-on (SLIDE 1) a FOTO-01 unott-színezős kontraszt-párjaként, kicsiben/párban jelenik meg; SLIDE 3-on (PÉLDA 1) önállóan, nagyban, a részletekre (rajzok, szavak, mindenki nyoma) fókuszálva. Ha a HOOK-kontraszthoz szorosabb keret kell, a kép kivágása/mérete eltérhet, de a forrásfotó/illusztráció ugyanaz. Kötelező forrás + licenc + GDPR-hozzájárulás megjelölése (46-52). Párja: M6.3-FOTO-01. | DÖNTÉS: illusztráció (GDPR-kockázat elkerülése), FOTO→ILL."
M6.F-MUNK-02,M6,02 Tervezet/Modulok/M6/Peulák/M6.F – Felzárkóztató peula – Toolbox & játéklap (Study Lab).md,worksheet,M6.B-MUNK-01,02 Tervezet/Modulok/M6/Peulák/M6.B – Peula – Játéklap workshop – saját eszköz tervezése (45’).md,worksheet,"Újrahasznosítás indoklása (v1 dedup): M6.B-MUNK-01 az elsődleges/forrás-sablon, amire M6-MUNK-01 és M6.F-MUNK-02 explicit visszahivatkozik ('a digitális/sablon nyomtatott változata'). Ugyanaz az egylapos játéklap; a felhasználási kontextus (workshop / modul-produktum / offline B-terv) eltér, de a média egy darab. A Moodle-ben befejezett játéklap (Assignment/Workshop, line 51, 306) papír-megfelelője. A „kinek lehet nehéz” sor a Blokk 3 összekötésekből ered (line 277)."
M7.4-IKO-01,M7,02 Tervezet/Modulok/M7/Online leckék/M7.4 – Peula v1 + AI – első modulproduktum-vázlat.md,icon-set,M3.2-IKO-01,"02 Tervezet/Modulok/M3/Online leckék/M3.2 – Parparim, Kivsza, Leviatan, Zorea – 4 kvuca, 4 világ.md",icon-set,"Újrahasznosítás indoklása (v1 dedup): Azonos négy ikon. Eltérés csak a felhasználásban: M3.2-ben kártyákon/oszlopfejekben/táblázatban ismétlődve, M7.4-ben Single Choice opciókhoz illesztett piktogramként (korosztály-címkével: 6–10 / 11–13 / 14–16 / 16+). A vizuális asset ugyanaz. A forrás (38. sor) „illusztráció""-ként hivatkozik rájuk, de tartalmilag piktogram-/ikon-készlet (4 egységes elem) → assetType ikon-készlet, ezért az ID-rövidítés is IKO (nem ILL, hogy az ID-séma típushoz illeszkedjen). Meta §1 szerint AI-generált; provenance-jelölés D1.3 szerint. Az emoji-jelölések (🦋🐑🐋🌱) a forrásban orientálnak a vizuál tartalmára."
