Deliverable ID,Asset ID,Szerep,Modul,Egység,Forrásfájl,Típus,Altípus,Produkciós mód,Státusz,Készültségi akadály,Cím,Eredet,Forrásblokk,Szöveg (élő forrásból),Szöveg-hash,Blokkolók
M0.1-DIA-01,M0.1-DIA-01,elsődleges,M0,M0.1,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,diagram,,legyártandó,produkciós szabályra vár,,Éves útiterv timeline (M0→M7→Z),AI-generált,,,,R5
M0.1-DIA-01::ALTTEXT,M0.1-DIA-01,alt-szöveg,M0,M0.1,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,diagram,,legyártandó,produkciós szabályra vár,,Éves útiterv timeline (M0→M7→Z) — alt-szöveg,AI-generált,,,,R5
M0.1-IKO-01,M0.1-IKO-01,elsődleges,M0,M0.1,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,icon-set,,legyártandó,produkciós szabályra vár,,Hook-ikon: útiterv / térkép / lépcső,AI-generált,,,,R5
M0.1-IKO-01::ALTTEXT,M0.1-IKO-01,alt-szöveg,M0,M0.1,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,icon-set,,legyártandó,produkciós szabályra vár,,Hook-ikon: útiterv / térkép / lépcső — alt-szöveg,AI-generált,,,,R5
M0.1-IKO-02,M0.1-IKO-02,elsődleges,M0,M0.1,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,icon-set,,legyártandó,produkciós szabályra vár,,"3 ígéret-ikon (kézfogás, létra, pajzs)",AI-generált,,,,R5
M0.1-IKO-02::ALTTEXT,M0.1-IKO-02,alt-szöveg,M0,M0.1,02 Tervezet/Modulok/M0/Online leckék/M0.1 – Üdv a képzésben! – Éves útiterv & mi köze hozzám.md,icon-set,,legyártandó,produkciós szabályra vár,,"3 ígéret-ikon (kézfogás, létra, pajzs) — alt-szöveg",AI-generált,,,,R5
M0.2-DIA-01,M0.2-DIA-01,elsődleges,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",diagram,,legyártandó,produkciós szabályra vár,,SLIDE 4 jelzési folyamatábra: észreveszem → nem maradok egyedül → jelzek → támogatást kapunk,AI-generált,,,,R5
M0.2-DIA-01::ALTTEXT,M0.2-DIA-01,alt-szöveg,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",diagram,,legyártandó,produkciós szabályra vár,,SLIDE 4 jelzési folyamatábra: észreveszem → nem maradok egyedül → jelzek → támogatást kapunk — alt-szöveg,AI-generált,,,,R5
M0.2-DIA-02,M0.2-DIA-02,elsődleges,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",diagram,,legyártandó,produkciós szabályra vár,,"SLIDE 2 kétoszlopos összevetés: „Madrichként csinálom"" vs. „Nem (csak) az én feladatom""",AI-generált,,,,R5
M0.2-DIA-02::ALTTEXT,M0.2-DIA-02,alt-szöveg,M0,M0.2,"02 Tervezet/Modulok/M0/Online leckék/M0.2 – Madrich, nem terapeuta – szerepek és elvárások.md",diagram,,legyártandó,produkciós szabályra vár,,"SLIDE 2 kétoszlopos összevetés: „Madrichként csinálom"" vs. „Nem (csak) az én feladatom"" — alt-szöveg",AI-generált,,,,R5
